City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
344,Norsup,VU,81.66,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
348,Kudahuvadhoo,MV,83.08,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
355,Gurupa,BR,80.1,overcast clouds,-1.405,-51.64,Residencial DWD
356,Granja,BR,79.23,clear sky,-3.1203,-40.8261,Pousada Casa Grande
357,Mersing,MY,87.64,clear sky,2.4312,103.8405,Timotel Hotel
362,Maine-Soroa,NE,84.15,overcast clouds,13.2114,12.0241,Complexe
366,Cabo San Lucas,MX,80.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
368,Along,IN,79.63,few clouds,28.1667,94.7667,Hotel West
369,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
370,Kieta,PG,84.74,light rain,-6.2167,155.6333,Uruna Bay Retreat
374,Pauini,BR,79.03,heavy intensity rain,-7.7136,-66.9764,Casa do Kiwliks
376,Puri,IN,83.37,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
378,Teknaf,BD,82.35,overcast clouds,20.8624,92.3058,Forestry Guesthouse
379,Isabela,PH,86.58,overcast clouds,6.7085,121.9711,Isawad Resort
381,Hambantota,LK,81.63,overcast clouds,6.1241,81.1185,Bungalow 63
385,Sakakah,SA,78.93,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
387,Chinchani,IN,80.69,broken clouds,19.8667,72.7,Vasantshrushti Farm
388,Kanniyakumari,IN,81.1,overcast clouds,8.0833,77.5667,Sparsa
391,Lorengau,PG,85.48,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
392,Aquiraz,BR,84.22,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
394,Pak Phanang,TH,83.64,overcast clouds,8.3511,100.202,Green Park Inn Hotel
403,Sur,OM,79.03,clear sky,22.5667,59.5289,Sur Plaza Hotel
404,Acajutla,SV,80.17,few clouds,13.5928,-89.8275,asi es
409,Lodhran,PK,75.04,clear sky,29.5405,71.6336,Gulshan e khalil
410,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
411,Contai,IN,81.93,overcast clouds,21.7786,87.7536,PATHFINDER
412,Bowen,AU,81.86,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
415,Agua Dulce,MX,79.52,scattered clouds,18.1333,-94.1333,Hotel Victoria
416,Mecca,SA,82.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
424,Porbandar,IN,78.76,few clouds,21.6422,69.6093,Lords Inn Porbandar
426,Bosaso,SO,81.99,broken clouds,11.2842,49.1816,Red Sea Hotel
429,Hoi An,VN,82.36,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
432,Sao Jose Da Coroa Grande,BR,77.41,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
434,Eydhafushi,MV,83.05,broken clouds,5.1033,73.0708,Soneva Fushi
442,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
