City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Misratah,LY,2021-10-06 17:51:55,32.3754,15.0925,78.04,61,0,20.42
124,Saskylakh,RU,2021-10-06 17:51:55,71.9167,114.0833,25.09,97,100,10.89
125,Westport,US,2021-10-06 17:51:56,41.1415,-73.3579,72.28,70,90,4.0
126,Port Alfred,ZA,2021-10-06 17:51:56,-33.5906,26.891,65.08,85,41,22.41
127,Carnarvon,AU,2021-10-06 17:51:57,-24.8667,113.6333,62.67,72,0,17.27
128,Nome,US,2021-10-06 17:50:33,64.5011,-165.4064,41.07,93,90,12.66
129,Bredasdorp,ZA,2021-10-06 17:47:04,-34.5322,20.0403,62.28,82,0,16.11
130,Nikolskoye,RU,2021-10-06 17:51:58,59.7035,30.7861,55.02,66,54,12.5
131,East London,ZA,2021-10-06 17:48:03,-33.0153,27.9116,65.34,82,0,12.66
132,Cap Malheureux,MU,2021-10-06 17:48:29,-19.9842,57.6142,69.48,81,17,3.0
133,Barguzin,RU,2021-10-06 17:51:59,53.6167,109.6167,33.48,93,53,5.48
134,Kargat,RU,2021-10-06 17:51:59,55.1956,80.2811,32.68,75,100,5.35
135,Lagoa,PT,2021-10-06 17:52:00,39.05,-27.9833,70.81,88,9,17.07
136,Ayia Galini,GR,2021-10-06 17:52:00,35.1,24.6833,67.59,58,0,1.01
137,Haines Junction,CA,2021-10-06 17:52:01,60.7522,-137.5108,22.95,86,12,1.14
138,Khatanga,RU,2021-10-06 17:52:02,71.9667,102.5,24.58,92,100,13.02
139,Antofagasta,CL,2021-10-06 17:49:28,-23.65,-70.4,67.21,63,67,8.88
140,La Romana,DO,2021-10-06 17:51:15,18.4273,-68.9728,89.96,58,40,13.8
141,Hermanus,ZA,2021-10-06 17:52:02,-34.4187,19.2345,62.8,82,0,18.52
142,Harnai,PK,2021-10-06 17:52:03,30.1005,67.9374,81.05,40,1,2.08
143,Pouembout,NC,2021-10-06 17:52:03,-21.1333,164.9,66.25,84,0,4.32
144,Wiarton,CA,2021-10-06 17:52:04,44.7407,-81.1332,70.39,68,75,5.75
145,New Norfolk,AU,2021-10-06 17:52:05,-42.7826,147.0587,49.5,75,100,1.99
146,Solnechnyy,RU,2021-10-06 17:49:29,50.7214,136.6319,34.54,62,5,5.14
147,Imbituba,BR,2021-10-06 17:52:06,-28.24,-48.6703,66.09,72,96,9.57
148,Cape Town,ZA,2021-10-06 17:47:42,-33.9258,18.4232,70.21,61,0,1.01
149,Yellowknife,CA,2021-10-06 17:48:25,62.456,-114.3525,38.41,100,90,8.05
150,San Cristobal,VE,2021-10-06 17:52:07,7.7669,-72.225,84.38,59,92,7.76
151,Soyo,AO,2021-10-06 17:52:08,-6.1349,12.3689,78.85,81,46,12.71
152,Talaya,RU,2021-10-06 17:52:08,61.3833,152.75,1.36,96,48,1.25
153,Catamarca,AR,2021-10-06 17:50:46,-28.4696,-65.7852,79.77,31,2,1.99
154,Carnduff,CA,2021-10-06 17:52:09,49.1667,-101.8009,73.38,22,94,14.5
155,Deputatskiy,RU,2021-10-06 17:52:10,69.3,139.9,18.73,92,100,6.29
156,Carauari,BR,2021-10-06 17:52:10,-4.8828,-66.8958,85.8,70,92,2.75
157,Jamestown,US,2021-10-06 17:52:11,42.097,-79.2353,77.85,69,75,7.0
158,Jining,CN,2021-10-06 17:52:11,35.405,116.5814,55.44,90,100,11.21
159,Vanimo,PG,2021-10-06 17:52:12,-2.6741,141.3028,76.55,90,100,5.86
160,Christchurch,NZ,2021-10-06 17:52:12,-43.5333,172.6333,55.47,91,75,5.01
161,Luderitz,NA,2021-10-06 17:52:13,-26.6481,15.1594,60.85,65,0,1.9
162,Angoche,MZ,2021-10-06 17:52:13,-16.2325,39.9086,76.15,78,7,12.91
163,Upernavik,GL,2021-10-06 17:52:14,72.7868,-56.1549,33.4,55,100,3.8
164,Provideniya,RU,2021-10-06 17:52:14,64.3833,-173.3,37.0,98,100,11.32
165,Yulara,AU,2021-10-06 17:52:15,-25.2406,130.9889,66.04,42,28,11.5
166,Rognan,NO,2021-10-06 17:52:15,67.0953,15.3878,48.88,90,100,2.04
167,Shimoda,JP,2021-10-06 17:52:16,34.6667,138.95,66.11,86,96,12.03
168,Akdagmadeni,TR,2021-10-06 17:52:16,39.6603,35.8836,41.41,84,28,4.07
169,Srednekolymsk,RU,2021-10-06 17:52:17,67.45,153.6833,15.06,85,78,6.17
170,Faanui,PF,2021-10-06 17:52:17,-16.4833,-151.75,78.28,68,6,13.65
171,Severo-Kurilsk,RU,2021-10-06 17:52:18,50.6789,156.125,42.3,76,27,10.63
172,Tygda,RU,2021-10-06 17:52:18,53.1167,126.3333,31.39,67,63,4.16
173,Pangnirtung,CA,2021-10-06 17:52:19,66.1451,-65.7125,44.6,61,75,13.8
174,Norman Wells,CA,2021-10-06 17:52:19,65.282,-126.8329,26.64,93,75,5.75
175,Abha,SA,2021-10-06 17:52:20,18.2164,42.5053,69.62,52,20,4.61
176,Pisco,PE,2021-10-06 17:51:49,-13.7,-76.2167,68.05,73,0,8.05
177,Ponta Delgada,PT,2021-10-06 17:52:21,37.7333,-25.6667,76.5,94,75,14.97
178,Arlit,NE,2021-10-06 17:52:22,18.7369,7.3853,92.19,11,1,15.5
179,Boa Vista,BR,2021-10-06 17:47:43,2.8197,-60.6733,93.18,43,75,9.22
180,Salalah,OM,2021-10-06 17:52:22,17.0151,54.0924,79.48,87,58,3.78
181,Hithadhoo,MV,2021-10-06 17:52:23,-0.6,73.0833,83.86,74,68,12.73
182,Nizhniy Kuranakh,RU,2021-10-06 17:52:23,58.8353,125.4869,27.03,91,92,1.83
183,Lavrentiya,RU,2021-10-06 17:52:24,65.5833,-171.0,36.41,99,100,7.9
184,Nhulunbuy,AU,2021-10-06 17:52:25,-12.2333,136.7667,74.01,94,61,0.0
185,Itarema,BR,2021-10-06 17:52:25,-2.9248,-39.9167,86.76,61,52,18.9
186,Senador Pompeu,BR,2021-10-06 17:52:26,-5.5881,-39.3717,99.41,20,76,7.34
187,Alyangula,AU,2021-10-06 17:52:27,-13.8483,136.4192,73.27,94,67,3.44
188,Leh,IN,2021-10-06 17:52:27,34.1667,77.5833,50.9,28,0,4.14
189,Yar-Sale,RU,2021-10-06 17:52:28,66.8333,70.8333,43.61,83,65,22.86
190,Souillac,MU,2021-10-06 17:52:28,-20.5167,57.5167,69.37,94,40,6.91
191,Inhambane,MZ,2021-10-06 17:52:29,-23.865,35.3833,73.38,83,40,7.0
192,Codrington,AU,2021-10-06 17:52:29,-38.2667,141.9667,45.81,77,52,12.21
193,Necochea,AR,2021-10-06 17:52:30,-38.5473,-58.7368,50.04,60,62,20.38
194,Maloy,NO,2021-10-06 17:52:31,61.9353,5.1136,53.01,93,100,1.99
195,Birjand,IR,2021-10-06 17:52:31,32.8663,59.2211,72.07,8,0,9.22
196,Chicama,PE,2021-10-06 17:52:32,-7.8447,-79.1469,63.14,60,46,11.03
197,Senaki,GE,2021-10-06 17:52:32,42.2704,42.0675,55.49,86,99,11.32
198,Sao Filipe,CV,2021-10-06 17:52:33,14.8961,-24.4956,80.29,74,44,10.69
199,Karasjok,NO,2021-10-06 17:52:34,69.4719,25.5112,42.91,91,100,3.09
200,Tulun,RU,2021-10-06 17:52:34,54.5611,100.5792,30.9,86,40,1.5
201,Manggar,ID,2021-10-06 17:52:35,-2.8833,108.2667,80.49,79,100,6.2
202,Aksu,CN,2021-10-06 17:52:36,41.1231,80.2644,57.16,44,100,9.26
